page,x,y,width,height,stroke_color,fill_color,line_width
1,27.0,610.5,171.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,574.0,171.61,36.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,592.25,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,110.12,592.25,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,580.75,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,110.12,580.75,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,200.61,572.0,202.86,109.5,0 G,0 g,0.5
1,202.61,668.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,668.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,656.5,198.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,656.5,60.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,262.73,656.5,138.74,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,645.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,645.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,633.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,633.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,622.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,622.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,610.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,610.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,599.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,599.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,574.0,120.0,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
