page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Medium 3,301.5,697.5,F2,7.5,299.5,695.5,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Medium 4,301.5,685.75,F2,7.5,299.5,683.5,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Visit of school for / by,475.04,732.0,F1,7.0,455.21,730.0,112.79,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Acad. Inspections,457.21,720.5,F2,7.5,455.21,718.5,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,721.0,F2,7.0,535.78,718.5,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,CRC Coordinator,457.21,709.0,F2,7.5,455.21,707.0,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,709.5,F2,7.0,535.78,707.0,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Block Level Officers,457.21,697.5,F2,7.5,455.21,695.5,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,698.0,F2,7.0,535.78,695.5,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,State/District Officers,457.21,685.75,F2,7.5,455.21,683.5,80.56,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,686.5,F2,7.0,535.78,683.5,32.22,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Establishment,29.0,670.0,F2,7.5,27.0,668.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1964,181.04,670.5,F2,7.0,167.0,668.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Pri.,29.0,658.5,F2,7.5,27.0,656.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1964,181.04,659.0,F2,7.0,167.0,656.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Upr.Pri.,29.0,647.0,F2,7.5,27.0,645.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1964,181.04,647.5,F2,7.0,167.0,645.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Sec.,29.0,635.5,F2,7.5,27.0,633.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1987,181.04,636.0,F2,7.0,167.0,633.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Higher Sec.,29.0,624.0,F2,7.5,27.0,622.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1987,181.04,624.5,F2,7.0,167.0,622.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",29.0,612.5,F2,7.5,27.0,610.5,171.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Affiliation Board-Sec,29.0,594.25,F2,7.5,27.0,592.25,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-State Board,112.12,594.75,F2,7.0,110.12,592.25,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Affiliation Board-HSec,29.0,582.75,F2,7.5,27.0,580.75,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-State Board,112.12,583.25,F2,7.0,110.12,580.75,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Is this a Shift School?,204.61,670.0,F2,7.5,202.61,668.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,384.3,670.5,F2,7.0,322.61,668.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Building Status,204.61,658.5,F2,7.5,202.61,656.5,60.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-Rented,370.68,659.0,F2,7.0,262.73,656.5,138.74,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Boundary wall,204.61,647.0,F2,7.5,202.61,645.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Pucca,373.8,647.5,F2,7.0,322.61,645.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,No.of Building Blocks,204.61,635.5,F2,7.5,202.61,633.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
