page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Block Level Officers,457.21,697.5,F2,7.5,455.21,695.5,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3,562.11,698.0,F2,7.0,535.78,695.5,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Lowest & Highest Class,29.0,697.0,F2,7.5,27.0,695.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1  -   5,163.25,697.5,F2,7.0,161.25,695.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pre Primary,29.0,685.5,F2,7.5,27.0,683.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,163.25,686.0,F2,7.0,161.25,683.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 4,301.5,685.75,F2,7.5,299.5,683.5,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,375.36,683.5,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,State/District Officers,457.21,685.75,F2,7.5,455.21,683.5,80.56,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,562.11,686.5,F2,7.0,535.78,683.5,32.22,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Establishment,29.0,670.0,F2,7.5,27.0,668.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1940,181.04,670.5,F2,7.0,167.0,668.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Is this a Shift School?,204.61,670.0,F2,7.5,202.61,668.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,384.3,670.5,F2,7.0,322.61,668.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi At Premises,407.47,670.0,F2,7.5,405.47,668.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,670.5,F2,7.0,534.76,668.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Pri.,29.0,658.5,F2,7.5,27.0,656.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,167.0,656.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Building Status,204.61,658.5,F2,7.5,202.61,656.5,60.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3-Government,354.74,659.0,F2,7.0,262.73,656.5,138.74,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Boys,407.47,658.5,F2,7.5,405.47,656.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,12,558.22,659.0,F2,7.0,534.76,656.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Upr.Pri.,29.0,647.0,F2,7.5,27.0,645.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,167.0,645.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Boundary wall,204.61,647.0,F2,7.5,202.61,645.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,7-Partial,373.41,647.5,F2,7.0,322.61,645.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Girls,407.47,647.0,F2,7.5,405.47,645.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,10,558.22,647.5,F2,7.0,534.76,645.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Sec.,29.0,635.5,F2,7.5,27.0,633.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,167.0,633.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,No.of Building Blocks,204.61,635.5,F2,7.5,202.61,633.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3,395.58,636.0,F2,7.0,322.61,633.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Worker,407.47,635.5,F2,7.5,405.47,633.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,547.72,636.0,F2,7.0,534.76,633.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Higher Sec.,29.0,624.0,F2,7.5,27.0,622.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,167.0,622.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pucca Building Blocks,204.61,624.0,F2,7.5,202.61,622.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3,395.58,624.5,F2,7.0,322.61,622.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",29.0,612.5,F2,7.5,27.0,610.5,171.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Is Special School for CWSN?,204.61,612.5,F2,7.5,202.61,610.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,384.3,613.0,F2,7.0,322.61,610.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Residential School,407.47,617.25,F2,7.5,405.47,608.5,129.28,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3 - Non- Residenti al,540.72,624.5,F2,7.0,534.76,608.5,33.24,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Availability of Ramps,204.61,601.0,F2,7.5,202.61,599.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,381.19,601.5,F2,7.0,322.61,599.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Residential Type,407.47,599.0,F2,7.5,405.47,597.0,72.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,477.71,597.0,90.29,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Affiliation Board-Sec,29.0,594.25,F2,7.5,27.0,592.25,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
