page,text,text_x,text_y,font,font_size,rect_x,rect_y,rect_width,rect_height,stroke_color,fill_color,line_width
1,Medium 3,301.5,691.0,F2,7.5,299.5,689.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,375.36,689.0,75.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Block Level Officers,457.21,691.0,F2,7.5,455.21,689.0,80.56,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,5,562.11,691.5,F2,7.0,535.78,689.0,32.22,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Lowest & Highest Class,29.0,690.5,F2,7.5,27.0,688.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1  -   12,163.25,691.0,F2,7.0,161.25,688.5,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pre Primary,29.0,679.0,F2,7.5,27.0,677.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,163.25,679.5,F2,7.0,161.25,677.0,134.25,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Medium 4,301.5,679.25,F2,7.5,299.5,677.0,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,375.36,677.0,75.86,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,State/District Officers,457.21,679.25,F2,7.5,455.21,677.0,80.56,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,4,562.11,680.0,F2,7.0,535.78,677.0,32.22,12.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Establishment,29.0,663.5,F2,7.5,27.0,661.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,664.0,F2,7.0,167.0,661.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Is this a Shift School?,204.61,663.5,F2,7.5,202.61,661.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,384.3,664.0,F2,7.0,322.61,661.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi At Premises,407.47,663.5,F2,7.5,405.47,661.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,664.0,F2,7.0,534.76,661.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Pri.,29.0,652.0,F2,7.5,27.0,650.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,652.5,F2,7.0,167.0,650.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Building Status,204.61,652.0,F2,7.5,202.61,650.0,60.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3-Government,354.74,652.5,F2,7.0,262.73,650.0,138.74,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Boys,407.47,652.0,F2,7.5,405.47,650.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,652.5,F2,7.0,534.76,650.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Upr.Pri.,29.0,640.5,F2,7.5,27.0,638.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,641.0,F2,7.0,167.0,638.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Boundary wall,204.61,640.5,F2,7.5,202.61,638.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Pucca,373.8,641.0,F2,7.0,322.61,638.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Girls,407.47,640.5,F2,7.5,405.47,638.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,0,562.11,641.0,F2,7.0,534.76,638.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Sec.,29.0,629.0,F2,7.5,27.0,627.0,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,629.5,F2,7.0,167.0,627.0,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,No.of Building Blocks,204.61,629.0,F2,7.5,202.61,627.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,395.58,629.5,F2,7.0,322.61,627.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Anganwadi Worker,407.47,629.0,F2,7.5,405.47,627.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,NA,556.28,629.5,F2,7.0,534.76,627.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Year of Recognition-Higher Sec.,29.0,617.5,F2,7.5,27.0,615.5,140.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1945,181.04,618.0,F2,7.0,167.0,615.5,31.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Pucca Building Blocks,204.61,617.5,F2,7.5,202.61,615.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1,395.58,618.0,F2,7.0,322.61,615.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,"",29.0,606.0,F2,7.5,27.0,604.0,171.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,Is Special School for CWSN?,204.61,606.0,F2,7.5,202.61,604.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,384.3,606.5,F2,7.0,322.61,604.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Residential School,407.47,610.75,F2,7.5,405.47,602.0,129.28,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,3 - Non- Residenti al,540.72,618.0,F2,7.0,534.76,602.0,33.24,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Availability of Ramps,204.61,594.5,F2,7.5,202.61,592.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,381.19,595.0,F2,7.0,322.61,592.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Residential Type,407.47,592.5,F2,7.5,405.47,590.5,72.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,"",,,,,477.71,590.5,90.29,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Affiliation Board-Sec,29.0,587.75,F2,7.5,27.0,585.75,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-CBSE,112.12,588.25,F2,7.0,110.12,585.75,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Minority School,407.47,581.0,F2,7.5,405.47,579.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,2-No,550.83,581.5,F2,7.0,534.76,579.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Affiliation Board-HSec,29.0,576.25,F2,7.5,27.0,574.25,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-CBSE,112.12,576.75,F2,7.0,110.12,574.25,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,Availability of Handrails,204.61,576.25,F2,7.5,202.61,567.5,120.0,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,1-Yes,381.19,583.5,F2,7.0,322.61,567.5,78.86,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
