page,x,y,width,height,stroke_color,fill_color,line_width
1,27.0,604.0,171.61,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,567.5,171.61,36.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,585.75,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,110.12,585.75,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,574.25,83.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,110.12,574.25,88.49,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,200.61,565.5,202.86,109.5,0 G,0 g,0.5
1,202.61,661.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,661.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,650.0,198.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,650.0,60.12,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,262.73,650.0,138.74,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,638.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,638.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,627.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,627.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,615.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,615.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,604.0,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,604.0,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,592.5,120.0,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,592.5,78.86,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,567.5,120.0,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,322.61,567.5,78.86,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,403.47,565.5,166.53,109.5,0 G,0 g,0.5
1,405.47,661.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,661.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,650.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,650.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,638.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,638.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,627.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,627.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,602.0,129.28,25.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,602.0,33.24,25.0,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,590.5,162.53,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,405.47,590.5,72.23,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,477.71,590.5,90.29,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,579.0,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,579.0,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,405.47,567.5,129.28,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,534.76,567.5,33.24,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,25.0,469.5,175.61,96.0,0 G,0 g,0.5
1,27.0,552.5,114.41,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,552.5,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,170.01,552.5,28.6,11.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,27.0,541.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,541.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,541.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,529.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,529.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,529.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,518.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,518.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,518.0,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,506.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,506.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,170.01,506.5,28.6,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,495.0,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,495.0,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,483.5,114.41,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,141.41,483.5,57.2,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,27.0,471.5,171.61,12.0,0.66275 0.66275 0.66275 RG,0 g,0.01
1,200.61,469.5,205.89,96.0,0 G,0 g,0.5
1,202.61,552.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,552.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,540.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,540.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,529.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,529.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,517.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,517.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,506.0,201.89,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,202.61,494.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,494.5,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,483.0,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
1,324.44,483.0,80.06,11.5,0.66275 0.66275 0.66275 RG,0 g,0.5
1,202.61,471.5,121.83,11.5,0.66275 0.66275 0.66275 RG,0 g,0.01
